,0
552,-10825.748
553,-10825.2328
554,-10835.8704
555,-10829.56
556,-10828.6848
557,-10835.7104
558,-10837.8368
559,-10832.7608
560,-10838.0496
561,-10840.112
562,-10842.3104
563,-10849.4688
564,-10844.1104
565,-10852.1736
566,-10855.7296
567,-10855.7664
568,-10858.2416
569,-10858.1904
570,-10859.6
571,-10864.4
572,-10860.568
573,-10861.5192
574,-10866.5088
575,-10873.304
576,-10872.9872
577,-10871.5776
578,-10872.472
579,-10873.7208
580,-10878.968
581,-10879.312
582,-10885.532
583,-10887.052
584,-10881.168
585,-10888.6272
586,-10878.792
587,-10882.5376
588,-10893.3632
589,-10891.116
590,-10893.2912
591,-10899.5504
592,-10901.5872
593,-10902.9664
594,-10903.2688
595,-10898.0416
596,-10904.8312
597,-10908.8672
598,-10912.8472
599,-10914.8832
