,correlation(1000 epochs)
385,-0.9031990650253594
386,-0.943116758432799
387,-0.9503080989226684
388,-0.4417184218385862
389,-0.6897396693077154
390,-0.792535090853759
391,-0.8184860468241048
392,-0.8278425022674154
393,0.9309501069932591
394,0.9282695857621575
395,0.8580346495206972
396,0.8756462631714512
397,0.8746931107939181
398,0.5829802253343
399,-0.40377028324963116
400,-0.9589825748931005
401,-0.8713412914587286
402,-0.8942096634722627
403,0.7017653075109072
404,0.3979552331192327
405,-0.7758799014242924
406,-0.856528025513247
407,-0.9405506676545345
408,0.5821468640626307
409,0.34316572416198
410,-0.9416563693457367
411,-0.8608010756107178
412,0.7917544203995731
413,-0.45519163602473045
414,-0.2894064935516253
415,0.8534303481447062
416,0.7169802345393931
417,-0.8597958976393423
418,-0.5801891422508274
419,-0.34252170134752874
420,0.7979614153032977
421,0.9132012885438137
422,0.9495136477278521
423,0.8962399635900472
424,0.8359114102855478
425,0.9534220684233278
426,-0.8616404716850173
427,0.913935968423453
428,-0.6738467542092585
429,0.9454060976252878
430,0.9442586372758103
431,-0.8566198354284903
432,0.751182035408545
433,-0.8643002955917669
434,0.7821429962281844
435,-0.5351051396646687
436,-0.28128217752986656
437,0.14041578988540018
438,-0.49180780481296194
439,0.1321563418949595
440,0.9034151760708898
441,0.9536386206350711
442,-0.7927938464677553
443,0.7358447957908001
444,-0.8204186558791313
445,0.9145980504085321
446,-0.9508169316545231
447,-0.9041841498194563
448,0.9003015127246051
449,-0.8958554004497978
450,0.9044022614617886
451,0.788817518698245
452,0.7817622709702691
453,-0.8927141682361662
454,0.9561810090587404
455,-0.7555336499048654
456,-0.9472667143261237
457,-0.931751837991065
458,0.878225826961715
459,0.4807633003701655
460,-0.6211517106882521
461,-0.8203335283673958
462,-0.8058261223542069
463,0.7398367667885977
464,0.9475374931883019
465,0.8555540785297362
466,0.8411701674137487
467,0.8309027331275325
468,-0.9108847184263478
469,0.934254603918266
470,-0.9358954663823198
471,0.9677918473971449
472,-0.8747084658664526
473,-0.8915767290567189
474,0.7898582489759306
475,0.8224033532333559
476,-0.7800314185103521
477,-0.7971048485296922
478,0.9488405182265205
479,0.9438032979515736
480,0.9423102102725635
481,-0.9539234850220775
482,-0.9640847199551416
483,0.8234305918706938
484,0.9493921248411475
485,0.9458781862211545
486,-0.9614955431928408
487,-0.9734737222277339
488,0.8444917963468738
489,-0.9452784260181157
490,-0.9379383827742221
491,0.9669982391599583
492,0.974349448528496
493,-0.9416131289382853
494,0.9330722522968543
495,-0.4406942070651089
496,-0.955317291463749
497,-0.8320872914283407
